title,year,km,price,fuel,transmission,power,body_type,listing_date,url,search_query,search_page
Škoda Kodiaq SPORTLINE 2.0 TDI 4X4 142kW 7. miest,2025.0,21678.0,54120,Diesel,7-st. automatická,142.0,Combi,2026-08-08T06:55:25.885Z,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-4x4-142kw-7-miest/AeNn2BNbJhd/,Škoda Kodiaq 2.0 TDI,1
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2022.0,143851.0,23900,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AeM4de50FE8/,Škoda Kodiaq 2.0 TDI,1
"Škoda Kodiaq 2.0 TDI A7 4x4 142kw Webasto,Nelakované,Head Up,Masáž,360 kamery,Ťažné",2024.0,39456.0,38990,Diesel,7-st. automatická,142.0,SUV,2026-08-05T09:37:41.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-a7-4x4-142kw-webastonelakovanehead-upmasaz360-kamerytazne/AmfqenjG30_/,Škoda Kodiaq 2.0 TDI,1
Škoda Kodiaq 2.0 TDI SCR EVO LK DSG 110kW150HP A7,2022.0,117057.0,27990,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-08-07T18:24:45.696Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-lk-dsg-110kw150hp-a7/AeBJvY0bvJL/,Škoda Kodiaq 2.0 TDI,1
"Škoda Kodiaq 2.0 TDI Top Stav, Style, DSG",2022.0,139800.0,22800,Diesel,7-st. automatická,110.0,SUV,2026-08-08T10:51:41.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmcMGRQjfWD/,Škoda Kodiaq 2.0 TDI,1
Škoda Kodiaq 2.0 TDI Štýle Virtual 7 miestne,2024.0,87600.0,27990,Diesel,7-st. automatická,110.0,SUV,2026-08-09T09:30:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmBf89_EGH4/,Škoda Kodiaq 2.0 TDI,1
Škoda Kodiaq 2.0 TDI SCR Style DSG 110kW150HP A7,2018.0,120000.0,20000,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-07-29T22:14:54.180Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg-110kw150hp-a7/Ae243k3Ae3D/,Škoda Kodiaq 2.0 TDI,1
Škoda Kodiaq 2.0 TDI SCR EVO Joy Plus DSG 110kW150HP A7,2022.0,137782.0,23300,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-08-08T08:20:42.718Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-joy-plus-dsg-110kw150hp-a7/Aekmlifc04q/,Škoda Kodiaq 2.0 TDI,1
Škoda Kodiaq 2.0 TDI SCR EVO Active DSG 110kW150HP A7,2021.0,130671.0,23900,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-active-dsg-110kw150hp-a7/Ae6qFauHQtu/,Škoda Kodiaq 2.0 TDI,1
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020.0,226000.0,22999,Diesel,7-st. automatická,176.0,SUV / Off-road,2026-06-02T10:30:56.917Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/AeduZVyHNG1/,Škoda Kodiaq 2.0 TDI,1
