title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2022,51000,19700,Diesel,7-st. automatická,147,SUV / Off-road,2026-08-09T15:58:55.778Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae6W0jMCEOv/,3
Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG 110kW150HP A7,2023,112000,27500,Diesel,Automatická,110,SUV / Off-road,2026-08-06T05:56:14.361Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg-110kw150hp-a7/Ae7dE07zp2G/,3
"Škoda Kodiaq 2,0tdi, 4x4",2019,154000,20480,Diesel,7-st. automatická,110,Combi,2026-07-06T19:00:22.524Z,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-4x4/Aek7zjEyofD/,3
Škoda Kodiaq 2.0 TDI SCR EVO Final Edition DSG 110kW150HP A7,2024,22000,32850,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-10T13:41:57.092Z,https://www.autobazar.eu/detail/skoda-kodiaq-2024/Aet6_0kH4UK/,3
Škoda Kodiaq 2.0 TDI SCR 190k Sportline DSG 4x4,2019,175550,24999,Diesel,7-st. automatická,140,SUV,2026-08-10T10:36:41.126Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-sportline-dsg-4x4/Ae_Vx3YlDhG/,3
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110 kW150HP A7 WEBASTO TAZNE,2023,172000,23690,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-30T20:02:49.103Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110-kw150hp-a7-webasto-tazne/Ae5kK4yN2Ep/,3
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2017,177000,21790,Diesel,Automatická,140,SUV / Off-road,2026-08-01T08:22:45.081Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AexzmuwFlAM/,3
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020,137400,32900,Diesel,7-st. automatická,176,SUV / Off-road,2026-07-01T07:26:04.133Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/Ae_Yc8JdD-u/,3
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2020,113000,23990,Diesel,Automatická,140,SUV / Off-road,2026-07-28T20:41:13.365Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeE3HWTL-Iq/,3
Škoda Kodiaq Scout SUV 4x4 2.0 TDi 140kw AT 7,2020,77200,25900,Diesel,7-st. automatická,140,SUV,2026-06-30T20:25:01.555Z,https://www.autobazar.eu/detail/skoda-kodiaq-scout-suv-4x4-20-tdi-140kw-at-7/AeVuCs42yZY/,3
Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,2021,68300,29999,Diesel,7-st. automatická,147,SUV / Off-road,2026-07-27T15:51:43.606Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/AewC-L76nJf/,3
Škoda Kodiaq 2.0 TDI SCR Ambition DSG 110kW150HP A7,2020,158800,21990,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-27T13:08:59.261Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg-110kw150hp-a7/AeOzeRCjmTp/,3
Škoda Kodiaq 2.0 TDI SCR EVO 200 Style 4x4 DSG 147kW201HP A7,2022,102000,28500,Diesel,7-st. automatická,147,SUV / Off-road,2026-07-27T07:26:27.609Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-style-4x4-dsg-147kw201hp-a7/Aeo0mdiZG5G/,3
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2021,160000,22190,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-27T06:39:29.160Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/Ae-oG16aRFS/,3
Škoda Kodiaq 2.0 TDI SCR Style DSG 4x4 110kW150HP A7,2018,196200,19899,Diesel,Automatická,110,SUV / Off-road,2026-07-26T18:12:46.824Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg-4x4-110kw150hp-a7/AeSxmRccWw6/,4
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2023,85200,35490,Diesel,Automatická,147,SUV / Off-road,2026-07-28T08:05:57.490Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae1IsmNPuTJ/,4
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2018,114200,21600,Diesel,7-st. automatická,140,SUV / Off-road,2026-07-05T11:55:11.135Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AecQZ_n2wBT/,4
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2017,203000,17800,Diesel,Automatická,140,SUV / Off-road,2026-07-21T15:04:36.195Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeoN5sziqj7/,4
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG 147kW201HP A7,2021,90150,30190,Diesel,Automatická,147,SUV / Off-road,2026-08-06T19:59:45.408Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg-147kw201hp-a7/AeZw5jBniGq/,4
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020,169000,26490,Diesel,7-st. automatická,176,SUV / Off-road,2026-07-18T12:52:17.953Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/AeSzuwP3Q90/,4
Škoda Kodiaq 2025 Śkoda Kodiaq Sportline 2.0 TDI 4x4 - Fully loaded,2025,13000,47000,Diesel,Automatická,142,SUV / Combi,2026-07-20T06:16:28.610Z,https://www.autobazar.eu/detail/skoda-kodiaq-2025-skoda-kodiaq-sportline-20-tdi-4x4-fully-loaded/AeyfUh8YgtI/,4
Škoda Kodiaq 7 miestne top stav bez škrabancov 2 sady pneu letne zimné,2023,68500,27999,Diesel,Automatická,110,SUV,2026-07-17T15:03:35.785Z,https://www.autobazar.eu/detail/skoda-kodiaq-2023/AeZVReqsDMa/,4
Škoda Kodiaq 2.0 TDI SCR 190k Scout 4x4 DSG 140kW190HP A7,2020,148000,25900,Diesel,7-st. automatická,140,SUV / Off-road,2026-08-08T16:09:14.950Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-scout-4x4-dsg-140kw190hp-a7/AeiAX4qS7CE/,4
Škoda Kodiaq KODIAQ SELEC TD 110/2.0 A7F,2025,35678,39690,Diesel,7-st. automatická,110,SUV,2026-08-10T11:43:10.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-kodiaq-selec-td-11020-a7f/AmYQA3vYZ6k/,4
"Škoda Kodiaq Platinum 2.0 TDI 142,00 kW 7-stup. automat. 4x4",2026,5912,51299,Diesel,7-st. automatická,142,SUV,2026-07-16T14:39:38.810Z,https://www.autobazar.eu/detail/skoda-kodiaq-platinum-20-tdi-14200-kw-7-stup-automat-4x4/AejfQS6pB7H/,4
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2022,144809,24490,Diesel,7-st. automatická,110,SUV,2026-08-10T06:10:25.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmW-qgoqZoc/,4
Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG,2022,181443,27400,Diesel,7-st. automatická,110,SUV,2026-08-08T05:44:43.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg/Am0Zpig72QL/,4
"Škoda Kodiaq 2.0 TDI 4x4 DSG Ambition, Slovenské vozidlo",2022,230230,19999,Diesel,7-st. automatická,110,SUV,2026-08-07T11:01:07.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-4x4-dsg-ambition-slovenske-vozidlo/AmM31DWBiX-/,4
Škoda Kodiaq 2.0 TDI SCR Ambition DSG,2021,101980,23999,Diesel,7-st. automatická,110,SUV,2026-08-07T08:10:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg/Am9Ned_LLSf/,4
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,2022,143600,33990,Diesel,7-st. automatická,147,SUV,2026-08-10T18:31:17.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmTh_nZrSoP/,4
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,2022,117731,31999,Diesel,7-st. automatická,147,SUV,2026-08-06T09:51:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmhzqLbx-PE/,5
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / 7-míst / Tažné zařízení / Panorama / Matrix-Beam ...,2023,121772,29992,Diesel,Automatická,147,SUV,2026-08-09T09:10:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-7-mist-tazne-zarizeni-panorama-matrix-beam/AmlzFENNXw2/,5
Škoda Kodiaq Style 2.0 TDI 140kW 4x4 DSG / Webasto / Tažné / Canton / 360° kamera / DCC / Vy...,2017,253134,16048,Diesel,Automatická,140,SUV,2026-08-08T10:27:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-140kw-4x4-dsg-webasto-tazne-canton-360-kamera-dcc-vy/AmrQoxhCzAX/,5
Škoda Kodiaq 2.0 TDI SCR Style DSG,2018,163000,18850,Diesel,7-st. automatická,110,SUV,2026-08-10T05:18:35.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg/AmWbX_WmpTX/,5
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2022,176000,19900,Diesel,7-st. automatická,110,SUV,2026-08-07T07:20:20.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/Am3O40l21Zv/,5
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2023,89900,23500,Diesel,7-st. automatická,110,SUV,2026-08-08T10:52:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmzmHM4IoTV/,5
Škoda Kodiaq 2.0Tdi Top stav 1 majiteľ Virtual 4x4 Nezávislé kurenie,2022,122000,24500,Diesel,7-st. automatická,110,SUV,2026-08-08T10:52:14.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-top-stav-1-majitel-virtual-4x4/AmKE8SAyoq9/,5
Škoda Kodiaq 2.0 TDI L&K 110KW EVO 360•/Webasto/Matrix/Ťažné/Ventilovane/Masáž/Samopark,2022,152000,28800,Diesel,7-st. automatická,110,SUV,2026-08-10T20:15:52.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-landk-4x4-110kw-evo-tazne-360-vetrane-canton/AmdV6On2Den/,5
Škoda Kodiaq 2.0 TDI SCR EVO Style 4x4 DSG,2023,144980,25690,Diesel,7-st. automatická,110,SUV,2026-08-10T06:56:44.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-4x4-dsg/AmFO4WSw31G/,5
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / ALU 19''+ ALU 18'',2022,164051,27311,Diesel,Automatická,147,SUV,2026-08-08T10:25:52.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-alu-19-alu-18/Am7UJzBdzzx/,5
Škoda Kodiaq 2.0TDI 110kW AT7 4x4,2024,157000,27990,Diesel,7-st. automatická,110,SUV,2026-08-08T10:25:44.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-110kw-at7-4x4/AmYkH6_oRI_/,5
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Webasto / Tažné / Matrix / Columbus / Race modrá,2023,131583,28053,Diesel,Automatická,147,SUV,2026-08-08T10:27:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-webasto-tazne-matrix-columbus-race-modra/AmfI4fd00DE/,5
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Nezávislé topení / Tažné zařízení / Matrix LED / ...,2023,131908,28466,Diesel,Automatická,147,SUV,2026-08-08T12:30:22.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-nezavisle-topeni-tazne-zarizeni-matrix-led/AmvvPA8AEz-/,5
