title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page,kept,filter_reason
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2023,150039,23900,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AegXoj3Ouuw/,1,True,
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG,2022,74707,32500,Diesel,7-st. automatická,110,SUV,2026-08-07T07:57:38.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmEn1Yw6kdu/,2,True,
Škoda Kodiaq SPORTLINE 2.0 TDI 4X4 142kW 7. miest,2025,21678,54120,Diesel,7-st. automatická,142,Combi,2026-08-08T06:55:25.885Z,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-4x4-142kw-7-miest/AeNn2BNbJhd/,2,True,
Škoda Kodiaq 1.5 TSI ACT Style DSG 110kW150HP A7,2022,90386,24500,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-04T06:57:48.574Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-style-dsg-110kw150hp-a7/AeRTHmJx866/,2,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 1.5 TSI ACT Ambition DSG 110kW150HP A7,2023,138973,22200,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-08T08:49:49.092Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-ambition-dsg-110kw150hp-a7/AeBVT8RqAdb/,2,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 1.5 TSI ACT Sportline DSG 110kW150HP A7,2021,187478,21900,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-dsg-110kw150hp-a7/AemT6P7YiCe/,2,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2022,143851,23900,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AeM4de50FE8/,2,True,
"Škoda Kodiaq 2.0 TDI A7 4x4 142kw Webasto,Nelakované,Head Up,Masáž,360 kamery,Ťažné",2024,39456,38990,Diesel,7-st. automatická,142,SUV,2026-08-05T09:37:41.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-a7-4x4-142kw-webastonelakovanehead-upmasaz360-kamerytazne/AmfqenjG30_/,2,True,
Škoda Kodiaq 1.5 TSI ACT Joy Plus DSG 110kW150HP A7--7.MIESTNE----,2021,185660,19200,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-08T08:38:56.213Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-joy-plus-dsg-110kw150hp-a7-7miestne/Aepss0XDlr1/,2,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO LK DSG 110kW150HP A7,2022,117057,27990,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-07T18:24:45.696Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-lk-dsg-110kw150hp-a7/AeBJvY0bvJL/,2,True,
