title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page,kept,filter_reason
Škoda Kodiaq 1.5 TSI ACT Final Edition DSG 110kW150HP A7,2023,40000,33000,Benzín,7-st. automatická,110,SUV / Off-road,2026-07-14T08:31:11.725Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-final-edition-dsg-110kw150hp-a7/AehLbUWzPzs/,5,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TSI RS 4x4 DSG 180kW245HP A7,2024,72500,34450,Benzín,7-st. automatická,180,SUV / Off-road,2026-07-21T07:59:52.288Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tsi-rs-4x4-dsg-180kw245hp-a7/Ae-B0FNZLhB/,5,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,2022,117731,31999,Diesel,7-st. automatická,147,SUV,2026-08-06T09:51:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmhzqLbx-PE/,5,True,
Škoda Kodiaq 2.0 TSI Sportline 4x4 DSG,2022,103567,35499,Benzín,7-st. automatická,140,SUV,2026-08-06T09:50:17.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tsi-sportline-4x4-dsg/AmuSwall4QS/,5,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / 7-míst / Tažné zařízení / Panorama / Matrix-Beam ...,2023,121772,29992,Diesel,Automatická,147,SUV,2026-08-09T09:10:24.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-7-mist-tazne-zarizeni-panorama-matrix-beam/AmlzFENNXw2/,5,True,
Škoda Kodiaq Style 2.0 TDI 140kW 4x4 DSG / Webasto / Tažné / Canton / 360° kamera / DCC / Vy...,2017,253134,16048,Diesel,Automatická,140,SUV,2026-08-08T10:27:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-140kw-4x4-dsg-webasto-tazne-canton-360-kamera-dcc-vy/AmrQoxhCzAX/,5,True,
Škoda Kodiaq 2.0 TDI SCR Style DSG,2018,163000,18850,Diesel,7-st. automatická,110,SUV,2026-08-10T05:18:35.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg/AmWbX_WmpTX/,5,True,
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2022,176000,19900,Diesel,7-st. automatická,110,SUV,2026-08-07T07:20:20.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/Am3O40l21Zv/,5,True,
Škoda Kodiaq 1.5 TSI ACT Style DSG,2024,158800,20900,Benzín,7-st. automatická,110,SUV,2026-08-04T05:40:19.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-active-dsg/AmV8HgUvhwe/,5,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2023,89900,23500,Diesel,7-st. automatická,110,SUV,2026-08-08T10:52:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmzmHM4IoTV/,5,True,
Škoda Kodiaq 2.0Tdi Top stav 1 majiteľ Virtual 4x4 Nezávislé kurenie,2022,122000,24500,Diesel,7-st. automatická,110,SUV,2026-08-08T10:52:14.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-top-stav-1-majitel-virtual-4x4/AmKE8SAyoq9/,5,True,
Škoda Kodiaq 2.0 TDI L&K 110KW EVO 360•/Webasto/Matrix/Ťažné/Ventilovane/Masáž/Samopark,2022,152000,28800,Diesel,7-st. automatická,110,SUV,2026-08-10T20:15:52.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-landk-4x4-110kw-evo-tazne-360-vetrane-canton/AmdV6On2Den/,5,True,
Škoda Kodiaq 2.0 TDI SCR EVO Style 4x4 DSG,2023,144980,25690,Diesel,7-st. automatická,110,SUV,2026-08-10T06:56:44.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-4x4-dsg/AmFO4WSw31G/,5,True,
Škoda Kodiaq 2.0 TSI Style 4x4 DSG,2020,155000,26990,Benzín,7-st. automatická,140,SUV,2026-08-08T10:25:42.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tsi-style-4x4-dsg/Amw_qPcpvsO/,5,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / ALU 19''+ ALU 18'',2022,164051,27311,Diesel,Automatická,147,SUV,2026-08-08T10:25:52.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-alu-19-alu-18/Am7UJzBdzzx/,5,True,
Škoda Kodiaq 2.0TDI 110kW AT7 4x4,2024,157000,27990,Diesel,7-st. automatická,110,SUV,2026-08-08T10:25:44.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-110kw-at7-4x4/AmYkH6_oRI_/,5,True,
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Webasto / Tažné / Matrix / Columbus / Race modrá,2023,131583,28053,Diesel,Automatická,147,SUV,2026-08-08T10:27:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-webasto-tazne-matrix-columbus-race-modra/AmfI4fd00DE/,5,True,
Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Nezávislé topení / Tažné zařízení / Matrix LED / ...,2023,131908,28466,Diesel,Automatická,147,SUV,2026-08-08T12:30:22.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-nezavisle-topeni-tazne-zarizeni-matrix-led/AmvvPA8AEz-/,5,True,
