source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194060314,Škoda Kodiaq 2.0TDi 200PS DSG 4x4 Clever Edition Matrix 360,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,138200.0,147.0,Automatic,,28500,https://auto.bazos.sk/inzerat/194060314/skoda-kodiaq-20tdi-200ps-dsg-4x4-clever-edition-matrix-360.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,194233174,Škoda Kodiaq 2.0 TDI DSG Sportline Webasto Panorama,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,112000.0,110.0,Automatic,,27500,https://auto.bazos.sk/inzerat/194233174/skoda-kodiaq-20-tdi-dsg-sportline-webasto-panorama.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,193960424,ŠKODA KODIAQ 2.0TDI SPORTLINE 4X4 DSG 2023 TAZNE ODPOCET DPH,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,124000.0,110.0,Automatic,,30600,https://auto.bazos.sk/inzerat/193960424/skoda-kodiaq-20tdi-sportline-4x4-dsg-2023-virtual-tazne-dph.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,193958785,Škoda Kodiaq 2.0TDi DSG rok 2022 - Odpočet DPH -,Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,,,Automatic,,20999,https://auto.bazos.sk/inzerat/193958785/audi-a6-50-tfsi-e-quattro-plug-in-hybrid-2023-black-paket.php,regex_description,missing,missing,regex_description,regex_description,missing,regex_description,match,match,n/a,match,unknown,n/a,n/a
bazos,194384477,"✅️Škoda Kodiaq Sportline 2023 2.0TDI 147KW 4x4,Webas,Ťažné✅️",Škoda,Kodiaq,2.0 TDI,Diesel,,109000.0,147.0,,,33990,https://auto.bazos.sk/inzerat/194384477/skoda-kodiaq-sportline-2023-20tdi-147kw-4x4webastazne.php,missing,regex_description,regex_title,missing,regex_title,missing,regex_title,match,match,n/a,unknown,match,n/a,n/a
bazos,194474451,Škoda KODIAQ Sportline 2.0TDi 4x4 147kW WEBASTO/PANO/ŤAŽNÉ,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,158000.0,147.0,,,27399,https://auto.bazos.sk/inzerat/194474451/skoda-kodiaq-sportline-20tdi-4x4-147kw-webastopanotazne.php,regex_description,regex_description,regex_description,missing,regex_description,missing,regex_title,match,match,n/a,match,match,n/a,n/a
bazos,193952065,"ŠKODA KODIAQ 2.0TDI SPORTLINE 4X4 DSG, VIRTUAL/KAMERA/CANTON",Škoda,Kodiaq,2.0 TDI,Diesel,2022.0,159066.0,147.0,Automatic,,26950,https://auto.bazos.sk/inzerat/193952065/vw-id4-pro-performance-soh-926-360kameramatrixtazne.php,regex_description,regex_description,regex_description,regex_title,regex_description,missing,regex_title,match,match,n/a,match,match,n/a,n/a
bazos,194441119,Kodiaq,Škoda,Kodiaq,2.0 TDI,Diesel,2018.0,,110.0,Automatic,,20000,https://auto.bazos.sk/inzerat/194441119/kodiaq.php,regex_description,missing,regex_description_from_ps,regex_description,regex_description,missing,regex_description,match,match,n/a,match,unknown,n/a,n/a
bazos,193880304,ŠKODA KODIAQ 2.0 TDI STYLE DSG MATRIX/PANO/KAM/ACC,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,150563.0,110.0,Automatic,,24890,https://auto.bazos.sk/inzerat/193880304/skoda-kodiaq-20-tdi-scr-style-dsg.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
bazos,193866473,Skoda Kodiaq Sportline 2.0tdi 110kw ...PREDANÉ ...,Škoda,Kodiaq,2.0 TDI,Diesel,2023.0,142545.0,110.0,Automatic,,26890,https://auto.bazos.sk/inzerat/193866473/skoda-kodiaq-sportline-20tdi-110kw-dsg-matrixcamambient.php,regex_description,regex_description,regex_description,regex_description,regex_description,missing,regex_description,match,match,n/a,match,match,n/a,n/a
