source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,Ae6qFauHQtu,Škoda Kodiaq 2.0 TDI SCR EVO Active DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2021,130671,110,Automatic,SUV / Off-road,23900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-active-dsg-110kw150hp-a7/Ae6qFauHQtu/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AebRurMNPW0,Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2023,105673,110,Automatic,SUV / Off-road,24999,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg-110kw150hp-a7/AebRurMNPW0/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae1AIGjHjJe,Škoda Kodiaq 2.0 TDI SCR 190k LK DSG 4x4 140kW190HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2019,126000,140,Automatic,SUV / Off-road,23950,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-lk-dsg-4x4-140kw190hp-a7/Ae1AIGjHjJe/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AePiuTDNQAd,Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,75000,147,Automatic,SUV / Off-road,37990,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/AePiuTDNQAd/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AeiKwMWMpZz,Škoda Kodiaq Škoda KodiaQ rv. 2020,Škoda,Kodiaq,,Diesel,2020,148000,176,Automatic,SUV / Combi,29900,https://www.autobazar.eu/detail/skoda-kodiaq-skoda-kodiaq-rv-2020/AeiKwMWMpZz/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae6W0jMCEOv,Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2022,51000,147,Automatic,SUV / Off-road,19700,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae6W0jMCEOv/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae7dE07zp2G,Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG 110kW150HP A7,Škoda,Kodiaq,2.0 TDI,Diesel,2023,112000,110,Automatic,SUV / Off-road,27500,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg-110kw150hp-a7/Ae7dE07zp2G/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Aek7zjEyofD,"Škoda Kodiaq 2,0tdi, 4x4",Škoda,Kodiaq,,Diesel,2019,154000,110,Automatic,Combi,20480,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-4x4/Aek7zjEyofD/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae_Vx3YlDhG,Škoda Kodiaq 2.0 TDI SCR 190k Sportline DSG 4x4,Škoda,Kodiaq,2.0 TDI,Diesel,2019,175550,140,Automatic,SUV,24999,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-sportline-dsg-4x4/Ae_Vx3YlDhG/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Ae5kK4yN2Ep,Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110 kW150HP A7 WEBASTO TAZNE,Škoda,Kodiaq,2.0 TDI,Diesel,2023,172000,110,Automatic,SUV / Off-road,23690,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110-kw150hp-a7-webasto-tazne/Ae5kK4yN2Ep/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
