source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194346823,Škoda Fabia 1.0 MPI - manuál - 146 627 km,,Petrol,2017.0,146627.0,44.0,Manual,,5990.0,https://auto.bazos.sk/inzerat/194346823/skoda-fabia-10-mpi-manual-146-627-km.php,match,match,match,n/a,match,match,match,n/a
bazos,194269861,Škoda Fabia 1.2 Benzin,,Petrol,,116000.0,44.0,Manual,,3490.0,https://auto.bazos.sk/inzerat/194269861/skoda-fabia-12-benzin.php,match,match,match,n/a,unknown,match,match,n/a
bazos,194423484,Škoda fabia 1.2HTP,,,,140000.0,,,Neni,790.0,https://auto.bazos.sk/inzerat/194423484/skoda-fabia-12htp.php,match,match,unknown,n/a,unknown,match,unknown,n/a
bazos,194288201,Škoda Fabia 3 Facelift 1.0TSI 70KW 2020 69 000km 1 majitel✅,1.0 TSI,Petrol,2019.0,69000.0,70.0,,Kombi,7990.0,https://auto.bazos.sk/inzerat/194288201/skoda-fabia-3-facelift-10tsi-70kw-2020-69-000km-1-majitel.php,match,match,match,n/a,match,match,match,n/a
bazos,194460087,Škoda Fabia 1.2 TSI 110k Ambition 81kW M6,1.2 TSI,Petrol,2017.0,119800.0,81.0,Manual,,8690.0,https://auto.bazos.sk/inzerat/194460087/skoda-fabia-12-tsi-110k-ambition-81kw-m6.php,match,match,match,n/a,match,match,match,n/a
bazos,194394741,"Skoda Fabia Combi 1.4 16V (59kW) - 2006, 141 000 km, KLÍMA",,,,141000.0,59.0,,Kombi,2099.0,https://auto.bazos.sk/inzerat/194394741/skoda-fabia-combi-14-16v-59kw-2006-141-000-km-klima.php,match,match,unknown,n/a,unknown,match,match,n/a
bazos,194434242,"Skoda Fabia 3,1.0MPI,2017,42 000KM",,Petrol,,42000.0,,,,7800.0,https://auto.bazos.sk/inzerat/194434242/skoda-fabia-310mpi201742-000km.php,match,match,match,n/a,unknown,match,unknown,n/a
bazos,194389420,"Škoda Fabia 3, 1.0 TSi, Monte Carlo",1.0 TSI,Petrol,2020.0,,81.0,,,6990.0,https://auto.bazos.sk/inzerat/194389420/skoda-fabia-10-tsi-monte-carlo.php,match,match,match,n/a,match,unknown,match,n/a
