source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmkLGCnlbQO,Mazda CX-3 2.0 Skyactiv-G,,Petrol,2016,130590,88,Manual,Iné,9900,https://www.autobazar.eu/detail/mazda-cx-3-20-skyactiv-g/AmkLGCnlbQO/,match,match,match,n/a,match,match,match,n/a
autobazar,AeiS0ZGRQqV,"Mazda CX-3 2.0 Skyactiv-G, Koža, Navigácia, Klíma",,Petrol,2016,141555,88,Manual,Iné,10400,https://www.autobazar.eu/detail/mazda-cx-3-20-skyactiv-g-po-stk/AeiS0ZGRQqV/,match,match,match,n/a,match,match,match,n/a
autobazar,AmnmKgQasB1,"Mazda CX-3 2.0 Skyactiv-GAttraction , Tempomat",,Petrol,2016,110905,88,Manual,Iné,11200,https://www.autobazar.eu/detail/mazda-cx-3-20-skyactiv-gattraction-tempomat/AmnmKgQasB1/,match,match,match,n/a,match,match,match,n/a
autobazar,AmRmGH5UP0o,"Mazda CX-3 2.0 Skyactiv-G, Automat, ČR,2.maj, Navi",,Petrol,2016,139356,88,Automatic,Iné,11200,https://www.autobazar.eu/detail/mazda-cx-3-20-skyactiv-g-automat-cr2maj-navi/AmRmGH5UP0o/,match,match,match,n/a,match,match,match,n/a
autobazar,AepH9WG__47,Mazda CX-3 2.0,,Petrol,2018,143313,88,Manual,Combi,329900,https://www.autobazar.eu/detail/mazda-cx-3-20/AepH9WG__47/,match,match,match,n/a,match,match,match,n/a
autobazar,AmZYGL0yJI7,Mazda CX-3 2.0 Skyactiv-G120 Revolution A/T,,Petrol,2018,120000,88,Automatic,SUV,14990,https://www.autobazar.eu/detail/mazda-cx-3-20-skyactiv-g120-revolution-at/AmZYGL0yJI7/,match,match,match,n/a,match,match,match,n/a
