source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AeMyM-70F0H,Nissan Qashqai 1.3 DIG-T Mild Hybrid Tekna BOSE,,Petrol,2022,59000,116,Automatic,SUV,23500,https://www.autobazar.eu/detail/nissan-qashqai-15-e-power-190-hev-tekna-116kw158hp-a1/AeMyM-70F0H/,match,match,match,n/a,match,match,match,n/a
autobazar,AetwDLvzor7,Nissan Qashqai 1.3 DIG-T 158 Mild Hybrid Tekna X-Tronic 116kW158HP A,,Petrol,2021,80000,116,Automatic,SUV / Off-road,16000,https://www.autobazar.eu/detail/nissan-qashqai-2021/AetwDLvzor7/,match,match,match,n/a,match,match,match,n/a
autobazar,AmLpnrt3nXa,Nissan Qashqai 1.3 DIG-T 158 Mild Hybrid N-Connecta,,Petrol,2023,62519,116,Manual,SUV,23990,https://www.autobazar.eu/detail/nissan-qashqai-13-dig-t-158-mild-hybrid-n-connecta/AmLpnrt3nXa/,match,match,match,n/a,match,match,match,n/a
