source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AeREeto_1El,Seat Leon 1.6 TDI 115 Style 85kW115HP M5,1.6 TDI,Diesel,2019,221000,85,Manual,Hatchback,9900,https://www.autobazar.eu/detail/seat-leon-2019/AeREeto_1El/,match,match,match,n/a,match,match,match,n/a
autobazar,AeqdOvyuAVD,Seat Leon 2.0 TDI SS Xcellence 110kW150HP M6,2.0 TDI,Diesel,2017,189700,110,Manual,Hatchback,10800,https://www.autobazar.eu/detail/seat-leon-20-tdi-ss-xcellence-110kw150hp-m6/AeqdOvyuAVD/,match,match,match,n/a,match,match,match,n/a
autobazar,AeqCm-lioiZ,Seat Leon 1.6 TDI CR 81kW110HP,1.6 TDI,Diesel,2014,307515,81,Manual,Hatchback,4950,https://www.autobazar.eu/detail/seat-leon-16-tdi-cr-81kw110hp/AeqCm-lioiZ/,match,match,match,n/a,match,match,match,n/a
autobazar,AmuIcWbbjXs,"Seat Leon 1.6 TDI, Tempomat",1.6 TDI,Diesel,2016,221493,81,Manual,Combi,5000,https://www.autobazar.eu/detail/seat-leon-16-tdi-tempomat/AmuIcWbbjXs/,match,match,match,n/a,match,match,match,n/a
autobazar,AmPIk-bIopT,"Seat Leon 1.6 TDI, Navi, Tempomat",1.6 TDI,Diesel,2014,262549,81,Manual,Combi,5200,https://www.autobazar.eu/detail/seat-leon-16-tdi-navi-tempomat/AmPIk-bIopT/,match,match,match,n/a,match,match,match,n/a
