source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,Am7hwGpoGmF,Mazda CX-5 2.0 Skyactiv-G AWD Revolution,,Petrol,2015,139480,118,Manual,SUV,15900,https://www.autobazar.eu/detail/mazda-cx-5-20-skyactiv-g-awd-revolution/Am7hwGpoGmF/,match,match,match,unknown,match,match,match,match
autobazar,Ae8fsxZYrlX,Mazda CX-5 2.0 Skyactiv-G Challenge 121kW165HP M6,,Petrol,2013,176500,121,Manual,SUV,10000,https://www.autobazar.eu/detail/mazda-cx-5-20-skyactiv-g-challenge-121kw165hp-m6/Ae8fsxZYrlX/,match,match,match,unknown,match,match,match,match
autobazar,AmieuZV4iWq,Mazda CX-5 2.0 Skyactiv-G AWD Attraction,,Petrol,2013,201892,118,Manual,SUV,10500,https://www.autobazar.eu/detail/mazda-cx-5-20-skyactiv-g-awd-attraction/AmieuZV4iWq/,match,match,match,unknown,match,match,match,match
autobazar,Aeh8kgi5TTq,"Mazda CX-5 2.0 Skyactiv-G, 4X4, Serv.kniha, Navigácia",,Petrol,2013,213095,118,Manual,SUV,10600,https://www.autobazar.eu/detail/mazda-cx-5-20-skyactiv-g-4x4-navigacia-xenony/Aeh8kgi5TTq/,match,match,match,unknown,match,match,match,match
