source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
bazos,194394238,Volkswagen Tiguan 1.5Tsi-/2019/173tis/Panorama/Full led/,1.5 TSI,Petrol,2019.0,173070.0,96.0,Manual,,15300,https://auto.bazos.sk/inzerat/194394238/volkswagen-tiguan-15tsi-2019173tispanoramafull-led.php,match,match,match,n/a,match,match,match,n/a
bazos,194320295,Volkswagen Tiguan 2.0 TSI DSG 132 KW 4motion 2019,2.0 TSI,Petrol,2018.0,,132.0,Automatic,,17450,https://auto.bazos.sk/inzerat/194320295/volkswagen-tiguan-20-tsi-dsg-132-kw-4motion-2018.php,match,match,match,n/a,match,unknown,match,n/a
bazos,194065820,Volkswagen Tiguan 1.5Tsi-rv:11/2021/127tis km/ Full led/Head,1.5 TSI,Petrol,2021.0,127279.0,96.0,Manual,,18900,https://auto.bazos.sk/inzerat/194065820/volkswagen-tiguan-15tsi-rv112021127tis-kmfull-ledhead.php,match,match,match,n/a,match,match,match,n/a
bazos,194039032,Volkswagen Tiguan 1.5 TSI EVO Life,1.5 TSI,Petrol,2021.0,86527.0,110.0,Manual,SUV,19990,https://auto.bazos.sk/inzerat/194039032/volkswagen-tiguan-15-tsi-evo-life.php,match,match,match,n/a,match,match,match,n/a
bazos,194252492,Volkswagen Tiguan R line TSI,,Petrol,2017.0,187000.0,110.0,Automatic,,17199,https://auto.bazos.sk/inzerat/194252492/volkswagen-tiguan-r-line-tsi.php,match,match,match,n/a,match,match,match,n/a
bazos,193699296,VW Tiguan Life 1.5 TSI 110kW Dsg,1.5 TSI,Petrol,2021.0,105142.0,110.0,Automatic,,20500,https://auto.bazos.sk/inzerat/193699296/vw-tiguan-life-15-tsi-110kw-dsg.php,match,match,match,n/a,match,match,match,n/a
bazos,193970666,Volkswagen Tiguan 2021 1.5 TSI 110kW DSG R-Line Harman,1.5 TSI,Petrol,,57240.0,110.0,Automatic,,30990,https://auto.bazos.sk/inzerat/193970666/volkswagen-tiguan-2021-15-tsi-110kw-dsg-r-line-harman.php,match,match,match,n/a,unknown,match,match,n/a
