source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmN_Cow31aq,Opel Astra 1.4 Turbo 150k S&S Innovation AT6,,Petrol,2018,98217.0,110,Automatic,Hatchback,12499,https://www.autobazar.eu/detail/opel-astra-14-turbo-150k-innovation/AmN_Cow31aq/,match,match,match,n/a,match,match,match,n/a
autobazar,AeyAWwNEd9e,"Opel Astra 1.4 T, Enjoy, SR,2.maj, Serv.kniha",,Petrol,2017,90456.0,92,Manual,Hatchback,9600,https://www.autobazar.eu/detail/opel-astra-14-t-enjoy-sr2maj-servkniha/AeyAWwNEd9e/,match,match,match,n/a,match,match,match,n/a
autobazar,AeBahZVYeGV,"Opel Astra 1.4 T, Enjoy, SR,1.maj, Serv.kniha",,Petrol,2018,114963.0,92,Manual,Hatchback,8000,https://www.autobazar.eu/detail/opel-astra-14-t-enjoy-sr1maj-servkniha/AeBahZVYeGV/,match,match,match,n/a,match,match,match,n/a
autobazar,Am_t0-sCxIX2,"Opel Astra POJAZDNÉ 1.4 Turbo Cosmo 2014, Benzín, 140 000 km, 103 kW, M6",,Petrol,2014,140000.0,103,Manual,Sedan,5990,https://www.autobazar.eu/detail/opel-astra-pojazdne-14-turbo-cosmo-2014-benzin-140-000-km-103-kw-m6/Am_t0-sCxIX2/,match,match,match,n/a,match,match,match,n/a
