source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,Ae9WPJ-Mvs7,Volkswagen T-Cross automat,,Petrol,2020,84000,85,Automatic,Combi,14000,https://www.autobazar.eu/detail/volkswagen-t-cross-volkswagen-t-cross-2020-automat/Ae9WPJ-Mvs7/,match,match,match,n/a,match,match,match,n/a
autobazar,AbMwULrL7jW,Volkswagen T-Cross 1.0 TSI Life,1.0 TSI,Petrol,2019,82045,70,Manual,SUV,11990,https://www.autobazar.eu/detail/volkswagen-t-cross-10-tsi-life/AbMwULrL7jW/,match,match,match,n/a,match,match,match,n/a
autobazar,AePo_TFJilE,"VW T-Cross 1.0 TSI, T-Cross, Serv.kniha, Klíma",1.0 TSI,Petrol,2019,69958,85,Manual,SUV,12600,https://www.autobazar.eu/detail/vw-t-cross-10-tsi-t-cross-servkniha-klima/AePo_TFJilE/,match,match,match,n/a,match,match,match,n/a
autobazar,AmjClB7SSJHT,Volkswagen T-Cross 1.0 TSI STYLE,1.0 TSI,Petrol,2019,108830,70,Manual,SUV,14490,https://www.autobazar.eu/detail/volkswagen-t-cross-10-tsi-style/AmjClB7SSJHT/,match,match,match,n/a,match,match,match,n/a
autobazar,AmQgh3SGjaU,VOLKSWAGEN T-Cross 1.0 TSI Carat 2020,1.0 TSI,Petrol,2020,124374,85,Manual,SUV,14199,https://www.autobazar.eu/detail/volkswagen-t-cross-10-tsi-carat-2020/AmQgh3SGjaU/,match,match,match,n/a,match,match,match,n/a
autobazar,AmvnU38mCFE,"VW T-Cross 1.0 TSILife , Serv.kniha, Tempomat",1.0 TSI,Petrol,2021,83378,70,Manual,SUV,15300,https://www.autobazar.eu/detail/vw-t-cross-10-tsilife-servkniha-tempomat/AmvnU38mCFE/,match,match,match,n/a,match,match,match,n/a
autobazar,AmCOtWyKrG6,Volkswagen T-Cross 1.0 TSI | 81 kW | 2021 | Len 59 664 km | TOP Stav | Možný úver,1.0 TSI,Petrol,2021,59664,81,Manual,SUV,15850,https://www.autobazar.eu/detail/volkswagen-t-cross-10-tsi-81-kw-2021-len-59-664-km-top-stav-mozny-uver/AmCOtWyKrG6/,match,match,match,n/a,match,match,match,n/a
autobazar,AeoNhtRu_Xz,Volkswagen T-Cross 1.0 TSI 110k Style DSG 81kW110HP A7,1.0 TSI,Petrol,2021,67500,81,Automatic,SUV / Off-road,15900,https://www.autobazar.eu/detail/volkswagen-t-cross-10-tsi-110k-style-dsg-81kw110hp-a7/AeoNhtRu_Xz/,match,match,match,n/a,match,match,match,n/a
autobazar,AmyPcaRUt2s,"VW T-Cross 1.0 TSI,",1.0 TSI,Petrol,2020,71136,85,Automatic,SUV,16900,https://www.autobazar.eu/detail/vw-t-cross-10-tsi/AmyPcaRUt2s/,match,match,match,n/a,match,match,match,n/a
autobazar,Amih45Roj1l,"VW T-Cross 1.0 TSI,",1.0 TSI,Petrol,2019,73873,85,Automatic,SUV,17400,https://www.autobazar.eu/detail/vw-t-cross-10-tsi/Amih45Roj1l/,match,match,match,n/a,match,match,match,n/a
