row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_tier,ab_comparable_count,ab_median_eur,ab_price_diff_pct,ab_insufficient,ab_unknown_frac,ab_outliers_trimmed,bz_tier,bz_comparable_count,bz_median_eur,bz_price_diff_pct,bz_insufficient,bz_unknown_frac,bz_outliers_trimmed,median_spread_pct,ab_vs_bz_pct_gap,missing_critical_fields,sample_sufficient,confidence_flag,confidence_reasons,rank_source,rank_price_diff_pct,ab_example_links,bz_example_links,ab_retrieval_error,bz_retrieval_error
5,Subaru,Impreza,2.0 154HP Automatic Active,Petrol,2019,66220,113,11000,broad,0,,,True,1.0,0,broad,1,28800.0,161.8,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",bazos,161.8,,https://auto.bazos.sk/inzerat/194408768/subaru-impreza-wtx-sti-white-edition.php,,
12,Skoda,Superb,1.5 148HP Automatic Business Executive,Petrol,2019,92386,109,16000,broad,0,,,True,1.0,0,broad,0,,,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",autobazar,,,,,
14,BMW,X1,1.5 139HP Automatic sDrive 18i,Petrol,2018,119000,102,11500,broad,2,16550.0,43.9,True,0.0,0,broad,3,15100.0,31.3,True,0.75,1,8.8,12.6,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=3)",bazos,31.3,https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-140k-xline-at-103kw140hp-a6/AeNbL8OsfPl/ | https://www.autobazar.eu/detail/bmw-x1-sdrive-18i-at-103kw140hp-a7/AeQsVgfz4x8/,https://auto.bazos.sk/inzerat/194137635/bmw-x1.php | https://auto.bazos.sk/inzerat/194436274/bmw-x1-f48-x2-f39-orig-18-letna-sada.php | https://auto.bazos.sk/inzerat/193462843/ford-ranger-limited-22tdci-doublecab-duratorq-4x4.php,,
15,Volkswagen,Passat,1.4 148HP Automatic Highline Premium,Petrol,2017,87000,109,10800,broad,0,,,True,1.0,0,broad,0,,,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",autobazar,,,,,
20,Mazda,3,2.0 skyactiv-g 122 hk 4-dørs man. sky,Petrol,2019,116000,90,10250,broad,3,17499.0,70.7,True,0.0,0,broad,5,4499.0,-56.1,False,0.83,1,74.3,126.8,none,True,LOW,83% of comparables missing year/km; best sample n=5,bazos,-56.1,https://www.autobazar.eu/detail/mazda-3-20-skyactiv-g122-vam-system/AmJznRADkEy/ | https://www.autobazar.eu/detail/mazda-3-20-skyactiv-g122-plusstylesoundsafety-at/AmN3sm0kSxz/ | https://www.autobazar.eu/detail/mazda-3-20-skyactiv-g150-plus-at-110kw150hp-a6/AeFkLwrfyn8/,https://auto.bazos.sk/inzerat/194143899/top.php | https://auto.bazos.sk/inzerat/194080069/mazda-3-benzin.php | https://auto.bazos.sk/inzerat/194410317/mazda-3-20-benzin.php,,
21,Renault,Mégane,"Sport Tourer 1,6 E-TECH  Plugin-hybrid Zen 160HK Stc Aut.",PHEV,2020,99000,118,11500,broad,0,,,True,1.0,0,broad,1,15990.0,39.0,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",bazos,39.0,,https://auto.bazos.sk/inzerat/194451324/renault-megane-13-tce-160-rsline-edc-117kw-2020.php,,
24,VW,Golf,"1,4 TSI  Plugin-hybrid GTE DSG 204HK 5d 6g Aut.",PHEV,2018,177000,150,9900,broad,0,,,True,1.0,0,broad,0,,,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=0)",autobazar,,,,,
33,BMW,X3,2.0 249HP Automatic xDrive 30i,Petrol,2019,139900,183,20000,broad,2,29745.0,48.7,True,0.0,0,broad,1,26490.0,32.5,True,1.0,0,10.9,16.2,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=2, BZ n=1)",autobazar,48.7,https://www.autobazar.eu/detail/bmw-x3-xdrive30i-m-sport-at-185kw252hp-a8/AeazTplwzOQ/ | https://www.autobazar.eu/detail/bmw-x3-xdrive30i-2018-185kw-harman-kardon-xline/AmL5MclIzrE/,https://auto.bazos.sk/inzerat/192852073/bmw-x3-xdrive30d-luxury-line-at-195kw-rv-072019.php,,
37,BMW,3 Series,2.0 182HP Automatic 320i M-sport,Petrol,2019,113000,134,13500,broad,3,23999.0,77.8,True,0.0,0,broad,2,18944.5,40.3,True,1.0,0,21.1,37.5,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=3, BZ n=2)",autobazar,77.8,https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw184hp-a8/Ae8-5c7q1Yo/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-m-sport-shadow-at-135kw184hp-a8/AeNm7uoRdjn/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw183hp-a8/AexlfLb-TCz/,https://auto.bazos.sk/inzerat/194348164/bmw-320d-xdrive-msport.php | https://auto.bazos.sk/inzerat/193485592/bmw-3-320d-xdrive.php,,
42,Peugeot,3008,1.6 179HP Automatic GT Line,Hybrid,2020,73000,132,15000,broad,0,,,True,1.0,0,broad,1,14000.0,-6.7,True,1.0,0,,,none,False,INSUFFICIENT,"no source reaches 4 comparables (AB n=0, BZ n=1)",bazos,-6.7,,https://auto.bazos.sk/inzerat/194443811/peugeot-3008-15-bluehdi.php,,
