source,listing_id,title,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,rule_brand,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AeU994ZwAj04,Volkswagen Touran 1.4 TSI BMT Comfortline DSG,1.4 TSI,Petrol,2016,207826,110,Automatic,Mpv/Van,14100,https://www.autobazar.eu/detail/volkswagen-touran-14-tsi-bmt-comfortline-dsg/AeU994ZwAj04/,match,match,match,n/a,match,match,match,n/a
autobazar,AeeZ4EC7GzL,Volkswagen Touran 1.5 TSI OPF ACT Comfortline DSG 110kW150HP A7,1.5 TSI,Petrol,2021,179627,110,Automatic,Mpv/Van,15290,https://www.autobazar.eu/detail/volkswagen-touran-15-tsi-opf-act-comfortline-dsg-110kw150hp-a7/AeeZ4EC7GzL/,match,match,match,n/a,match,match,match,n/a
autobazar,Amj3eu-HZXe,Volkswagen Touran 1.4 TSI BMT Highline DSG,1.4 TSI,Petrol,2016,103000,110,Automatic,Van,15490,https://www.autobazar.eu/detail/volkswagen-touran-14-tsi-bmt-highline-dsg/Amj3eu-HZXe/,match,match,match,n/a,match,match,match,n/a
autobazar,AmIdDUZSEwJ,Volkswagen Touran 1.5 TSI OPF ACT Highline DSG,1.5 TSI,Petrol,2018,89000,110,Automatic,Mpv/Van,17400,https://www.autobazar.eu/detail/volkswagen-touran-15-tsi-opf-act-highline-dsg/AmIdDUZSEwJ/,match,match,match,n/a,match,match,match,n/a
